Region/Country/Area,Population density and surface area,Year,Series,Value
840,United States of America,2015,Population mid-year estimates for females (millions),162.67
840,United States of America,2015,Sex ratio (males per 100 females),100.5
840,United States of America,2015,Population aged 0 to 14 years old (percentage),19.2
840,United States of America,2015,Population aged 60+ years old (percentage),20.2
840,United States of America,2015,Population density,35.7
840,United States of America,2022,Population mid-year estimates (millions),341.53
840,United States of America,2022,Population mid-year estimates for males (millions),171.67
840,United States of America,2022,Population mid-year estimates for females (millions),169.86
840,United States of America,2022,Sex ratio (males per 100 females),101.1
840,United States of America,2022,Population aged 0 to 14 years old (percentage),17.9
840,United States of America,2022,Population aged 60+ years old (percentage),23.2
840,United States of America,2022,Population density,37.3
840,United States of America,2022,Surface area (thousand km2),"9,834"
840,United States of America,2024,Population mid-year estimates (millions),345.43
840,United States of America,2024,Population mid-year estimates for males (millions),173.55
840,United States of America,2024,Population mid-year estimates for females (millions),171.88
840,United States of America,2024,Sex ratio (males per 100 females),101.0
840,United States of America,2024,Population aged 0 to 14 years old (percentage),17.3
840,United States of America,2024,Population aged 60+ years old (percentage),24.2
840,United States of America,2024,Population density,37.8
850,United States Virgin Islands,2010,Population mid-year estimates (millions),0.11
850,United States Virgin Islands,2010,Population mid-year estimates for males (millions),0.05
850,United States Virgin Islands,2010,Population mid-year estimates for females (millions),0.06
850,United States Virgin Islands,2010,Sex ratio (males per 100 females),91.6
850,United States Virgin Islands,2010,Population aged 0 to 14 years old (percentage),20.8
850,United States Virgin Islands,2010,Population aged 60+ years old (percentage),20.6
850,United States Virgin Islands,2010,Population density,303.7
850,United States Virgin Islands,2015,Population mid-year estimates (millions),0.10
850,United States Virgin Islands,2015,Population mid-year estimates for males (millions),0.05
850,United States Virgin Islands,2015,Population mid-year estimates for females (millions),0.05
850,United States Virgin Islands,2015,Sex ratio (males per 100 females),92.3
850,United States Virgin Islands,2015,Population aged 0 to 14 years old (percentage),19.5
850,United States Virgin Islands,2015,Population aged 60+ years old (percentage),23.9
850,United States Virgin Islands,2015,Population density,286.4
850,United States Virgin Islands,2022,Population mid-year estimates (millions),0.09
850,United States Virgin Islands,2022,Population mid-year estimates for males (millions),0.04
850,United States Virgin Islands,2022,Population mid-year estimates for females (millions),0.05
850,United States Virgin Islands,2022,Sex ratio (males per 100 females),92.3
850,United States Virgin Islands,2022,Population aged 0 to 14 years old (percentage),16.5
850,United States Virgin Islands,2022,Population aged 60+ years old (percentage),29.5
850,United States Virgin Islands,2022,Population density,247.2
850,United States Virgin Islands,2022,Surface area (thousand km2),0
850,United States Virgin Islands,2024,Population mid-year estimates (millions),0.08
850,United States Virgin Islands,2024,Population mid-year estimates for males (millions),0.04
850,United States Virgin Islands,2024,Population mid-year estimates for females (millions),0.04
850,United States Virgin Islands,2024,Sex ratio (males per 100 females),90.9
850,United States Virgin Islands,2024,Population aged 0 to 14 years old (percentage),16.5
850,United States Virgin Islands,2024,Population aged 60+ years old (percentage),30.5
850,United States Virgin Islands,2024,Population density,242.6
858,Uruguay,2010,Population mid-year estimates (millions),3.32
858,Uruguay,2010,Population mid-year estimates for males (millions),1.61
858,Uruguay,2010,Population mid-year estimates for females (millions),1.71
858,Uruguay,2010,Sex ratio (males per 100 females),93.9
858,Uruguay,2010,Population aged 0 to 14 years old (percentage),22.3
858,Uruguay,2010,Population aged 60+ years old (percentage),18.6
858,Uruguay,2010,Population density,19.2
858,Uruguay,2015,Population mid-year estimates (millions),3.37
858,Uruguay,2015,Population mid-year estimates for males (millions),1.63
858,Uruguay,2015,Population mid-year estimates for females (millions),1.74
858,Uruguay,2015,Sex ratio (males per 100 females),94.0
858,Uruguay,2015,Population aged 0 to 14 years old (percentage),21.1
858,Uruguay,2015,Population aged 60+ years old (percentage),19.3
858,Uruguay,2015,Population density,19.4
858,Uruguay,2022,Population mid-year estimates (millions),3.39
858,Uruguay,2022,Population mid-year estimates for males (millions),1.64
858,Uruguay,2022,Population mid-year estimates for females (millions),1.75
858,Uruguay,2022,Sex ratio (males per 100 females),94.2
858,Uruguay,2022,Population aged 0 to 14 years old (percentage),19.1
858,Uruguay,2022,Population aged 60+ years old (percentage),20.9
858,Uruguay,2022,Population density,19.6
858,Uruguay,2022,Surface area (thousand km2),174
858,Uruguay,2024,Population mid-year estimates (millions),3.39
858,Uruguay,2024,Population mid-year estimates for males (millions),1.64
858,Uruguay,2024,Population mid-year estimates for females (millions),1.74
858,Uruguay,2024,Sex ratio (males per 100 females),94.2
858,Uruguay,2024,Population aged 0 to 14 years old (percentage),18.3
858,Uruguay,2024,Population aged 60+ years old (percentage),21.4
858,Uruguay,2024,Population density,19.6
860,Uzbekistan,2010,Population mid-year estimates (millions),28.39
860,Uzbekistan,2010,Population mid-year estimates for males (millions),14.27
860,Uzbekistan,2010,Population mid-year estimates for females (millions),14.11
860,Uzbekistan,2010,Sex ratio (males per 100 females),101.2
860,Uzbekistan,2010,Population aged 0 to 14 years old (percentage),28.9
860,Uzbekistan,2010,Population aged 60+ years old (percentage),6.8
860,Uzbekistan,2010,Population density,66.7
860,Uzbekistan,2015,Population mid-year estimates (millions),30.75
860,Uzbekistan,2015,Population mid-year estimates for males (millions),15.48
860,Uzbekistan,2015,Population mid-year estimates for females (millions),15.27
860,Uzbekistan,2015,Sex ratio (males per 100 females),101.4
860,Uzbekistan,2015,Population aged 0 to 14 years old (percentage),28.3
860,Uzbekistan,2015,Population aged 60+ years old (percentage),7.5
860,Uzbekistan,2015,Population density,72.3
860,Uzbekistan,2022,Population mid-year estimates (millions),34.94
860,Uzbekistan,2022,Population mid-year estimates for males (millions),17.62
860,Uzbekistan,2022,Population mid-year estimates for females (millions),17.32
860,Uzbekistan,2022,Sex ratio (males per 100 females),101.7
860,Uzbekistan,2022,Population aged 0 to 14 years old (percentage),30.6
860,Uzbekistan,2022,Population aged 60+ years old (percentage),9.0
860,Uzbekistan,2022,Population density,82.1
860,Uzbekistan,2022,Surface area (thousand km2),449
860,Uzbekistan,2024,Population mid-year estimates (millions),36.36
860,Uzbekistan,2024,Population mid-year estimates for males (millions),18.34
860,Uzbekistan,2024,Population mid-year estimates for females (millions),18.02
860,Uzbekistan,2024,Sex ratio (males per 100 females),101.8
860,Uzbekistan,2024,Population aged 0 to 14 years old (percentage),31.1
860,Uzbekistan,2024,Population aged 60+ years old (percentage),9.5
860,Uzbekistan,2024,Population density,85.5
548,Vanuatu,2010,Population mid-year estimates (millions),0.24
548,Vanuatu,2010,Population mid-year estimates for males (millions),0.12
548,Vanuatu,2010,Population mid-year estimates for females (millions),0.12
548,Vanuatu,2010,Sex ratio (males per 100 females),105.3
548,Vanuatu,2010,Population aged 0 to 14 years old (percentage),38.2
548,Vanuatu,2010,Population aged 60+ years old (percentage),5.1
548,Vanuatu,2010,Population density,19.5
548,Vanuatu,2015,Population mid-year estimates (millions),0.27
548,Vanuatu,2015,Population mid-year estimates for males (millions),0.14
548,Vanuatu,2015,Population mid-year estimates for females (millions),0.13
548,Vanuatu,2015,Sex ratio (males per 100 females),103.8
548,Vanuatu,2015,Population aged 0 to 14 years old (percentage),38.5
548,Vanuatu,2015,Population aged 60+ years old (percentage),5.9
548,Vanuatu,2015,Population density,21.8
548,Vanuatu,2022,Population mid-year estimates (millions),0.31
548,Vanuatu,2022,Population mid-year estimates for males (millions),0.16
548,Vanuatu,2022,Population mid-year estimates for females (millions),0.15
548,Vanuatu,2022,Sex ratio (males per 100 females),102.1
548,Vanuatu,2022,Population aged 0 to 14 years old (percentage),38.8
548,Vanuatu,2022,Population aged 60+ years old (percentage),6.5
548,Vanuatu,2022,Population density,25.7
548,Vanuatu,2022,Surface area (thousand km2),12
548,Vanuatu,2024,Population mid-year estimates (millions),0.33
548,Vanuatu,2024,Population mid-year estimates for males (millions),0.17
548,Vanuatu,2024,Population mid-year estimates for females (millions),0.16
548,Vanuatu,2024,Sex ratio (males per 100 females),101.9
548,Vanuatu,2024,Population aged 0 to 14 years old (percentage),38.3
548,Vanuatu,2024,Population aged 60+ years old (percentage),6.7
548,Vanuatu,2024,Population density,26.9
862,Venezuela (Boliv. Rep. of),2010,Population mid-year estimates (millions),28.81
862,Venezuela (Boliv. Rep. of),2010,Population mid-year estimates for males (millions),14.36
862,Venezuela (Boliv. Rep. of),2010,Population mid-year estimates for females (millions),14.45
862,Venezuela (Boliv. Rep. of),2010,Sex ratio (males per 100 females),99.4
862,Venezuela (Boliv. Rep. of),2010,Population aged 0 to 14 years old (percentage),29.9
862,Venezuela (Boliv. Rep. of),2010,Population aged 60+ years old (percentage),8.5
862,Venezuela (Boliv. Rep. of),2010,Population density,31.4
862,Venezuela (Boliv. Rep. of),2015,Population mid-year estimates (millions),30.57
862,Venezuela (Boliv. Rep. of),2015,Population mid-year estimates for males (millions),15.20
862,Venezuela (Boliv. Rep. of),2015,Population mid-year estimates for females (millions),15.38
862,Venezuela (Boliv. Rep. of),2015,Sex ratio (males per 100 females),98.8
862,Venezuela (Boliv. Rep. of),2015,Population aged 0 to 14 years old (percentage),28.2
862,Venezuela (Boliv. Rep. of),2015,Population aged 60+ years old (percentage),9.9
862,Venezuela (Boliv. Rep. of),2015,Population density,33.4
862,Venezuela (Boliv. Rep. of),2022,Population mid-year estimates (millions),28.21
862,Venezuela (Boliv. Rep. of),2022,Population mid-year estimates for males (millions),13.95
862,Venezuela (Boliv. Rep. of),2022,Population mid-year estimates for females (millions),14.26
862,Venezuela (Boliv. Rep. of),2022,Sex ratio (males per 100 females),97.8
862,Venezuela (Boliv. Rep. of),2022,Population aged 0 to 14 years old (percentage),26.8
862,Venezuela (Boliv. Rep. of),2022,Population aged 60+ years old (percentage),13.4
862,Venezuela (Boliv. Rep. of),2022,Population density,30.8
862,Venezuela (Boliv. Rep. of),2022,Surface area (thousand km2),930
862,Venezuela (Boliv. Rep. of),2024,Population mid-year estimates (millions),28.41
862,Venezuela (Boliv. Rep. of),2024,Population mid-year estimates for males (millions),14.03
862,Venezuela (Boliv. Rep. of),2024,Population mid-year estimates for females (millions),14.37
862,Venezuela (Boliv. Rep. of),2024,Sex ratio (males per 100 females),97.6
862,Venezuela (Boliv. Rep. of),2024,Population aged 0 to 14 years old (percentage),25.5
862,Venezuela (Boliv. Rep. of),2024,Population aged 60+ years old (percentage),14.3
862,Venezuela (Boliv. Rep. of),2024,Population density,31.0
704,Viet Nam,2010,Population mid-year estimates (millions),87.46
704,Viet Nam,2010,Population mid-year estimates for males (millions),42.54
704,Viet Nam,2010,Population mid-year estimates for females (millions),44.91
704,Viet Nam,2010,Sex ratio (males per 100 females),94.7
704,Viet Nam,2010,Population aged 0 to 14 years old (percentage),24.6
704,Viet Nam,2010,Population aged 60+ years old (percentage),8.6
704,Viet Nam,2010,Population density,279.0
704,Viet Nam,2015,Population mid-year estimates (millions),92.82
704,Viet Nam,2015,Population mid-year estimates for males (millions),45.30
